#{"t_start": 1736805555.2256901, "env_id": "None"}
r,l,t
-50565067000.0,1000,8.133324
-60893725000.0,1000,10.559565
-57133100000.0,1000,12.942754
-56481620000.0,1000,15.170009
-48731333000.0,1000,17.389865
-54698242000.0,1000,19.594444
-65159627000.0,1000,21.800912
-56395800000.0,1000,24.001602
-58416590000.0,1000,26.207943
-57028040000.0,1000,28.419388
-53537427000.0,1000,30.591214
-54756807000.0,1000,32.789705
-53896503000.0,1000,35.013031
-56040706000.0,1000,37.199967
-55542415000.0,1000,39.387243
-52126196000.0,1000,41.568187
-48161866000.0,1000,43.76049
-56943270000.0,1000,45.953059
-58289750000.0,1000,48.141658
-51050017000.0,1000,50.379043
-59123670000.0,1000,52.612145
-53803545000.0,1000,54.828082
-51047498000.0,1000,57.02125
-58049080000.0,1000,59.220242
-50934290000.0,1000,61.418252
-54844084000.0,1000,63.640426
-50200752000.0,1000,65.816966
-54434566000.0,1000,68.019139
-54029603000.0,1000,70.265558
-54216933000.0,1000,72.490204
-45139694000.0,1000,74.717619
-43656400000.0,1000,76.936621
-53902390000.0,1000,79.154502
-53462086000.0,1000,81.366871
-39894266000.0,1000,83.59617
-57558704000.0,1000,85.80671
-44462510000.0,1000,88.034129
-49814995000.0,1000,90.210132
-59767220000.0,1000,92.410727
-58254987000.0,1000,94.618965
-60622393000.0,1000,96.820113
-54118620000.0,1000,99.013945
-51375686000.0,1000,101.205615
-56615230000.0,1000,103.392425
-53727105000.0,1000,105.577693
-58706760000.0,1000,107.820955
-61759865000.0,1000,110.028314
-59798675000.0,1000,112.256438
-57995805000.0,1000,114.44369
-53956490000.0,1000,116.654378
-53976520000.0,1000,118.861398
-54502450000.0,1000,121.063048
-63741145000.0,1000,123.271597
-54607480000.0,1000,125.534234
-54585434000.0,1000,127.768867
-42784604000.0,1000,129.983091
-56240353000.0,1000,132.214906
-48524837000.0,1000,134.423338
-56995150000.0,1000,136.69476
-55684860000.0,1000,138.889692
-55244470000.0,1000,141.069151
-60382170000.0,1000,143.307277
-45674082000.0,1000,145.553897
-59306460000.0,1000,147.81525
-49885295000.0,1000,150.07096
-56155790000.0,1000,152.271465
-56142447000.0,1000,154.439558
-49251496000.0,1000,156.658033
-58253046000.0,1000,158.851792
-56926280000.0,1000,161.058595
-47714025000.0,1000,163.258847
-56585720000.0,1000,165.463025
-54734606000.0,1000,167.663232
-65277256000.0,1000,169.872159
-54556963000.0,1000,172.087693
-49049686000.0,1000,174.28116
-58659710000.0,1000,176.479263
-57406317000.0,1000,178.701668
-43509862000.0,1000,180.886275
-60140986000.0,1000,183.116705
-51754504000.0,1000,185.314413
-51575566000.0,1000,187.558681
-49286310000.0,1000,189.781876
-57443670000.0,1000,191.939274
-56159814000.0,1000,194.144177
-60666840000.0,1000,196.348815
-56962843000.0,1000,198.550766
-57749900000.0,1000,200.732851
-49825493000.0,1000,202.984791
-54170850000.0,1000,205.1929
-51453567000.0,1000,207.441927
-43348200000.0,1000,209.669935
-57524490000.0,1000,211.8758
-58870686000.0,1000,214.096124
-60136727000.0,1000,216.315312
-46197110000.0,1000,218.507142
-64300757000.0,1000,220.713015
-57162420000.0,1000,222.949085
-60199570000.0,1000,225.144322
-61618835000.0,1000,227.411524
-55727760000.0,1000,229.653321
-52964078000.0,1000,231.902831
-57213256000.0,1000,234.089095
-56279580000.0,1000,236.302919
-57961540000.0,1000,238.497912
-48423432000.0,1000,240.699787
-52792246000.0,1000,242.919421
-57562567000.0,1000,245.135671
-44937960000.0,1000,247.397195
-64879360000.0,1000,249.588452
-48874560000.0,1000,251.816565
-61284557000.0,1000,254.009991
-53939286000.0,1000,256.191307
-47335002000.0,1000,258.386335
-43803455000.0,1000,260.595271
-50647196000.0,1000,262.809291
-51547910000.0,1000,265.106998
-61070540000.0,1000,267.382554
-45155144000.0,1000,269.559514
-52021527000.0,1000,271.746907
-60019778000.0,1000,273.972741
-52428747000.0,1000,276.166605
-64442470000.0,1000,278.374484
-60655330000.0,1000,280.568999
-60393816000.0,1000,282.764673
-42717667000.0,1000,284.971766
-55552970000.0,1000,287.212568
-53170794000.0,1000,289.395446
-53043642000.0,1000,291.574215
-54928065000.0,1000,293.795815
-48749695000.0,1000,296.005483
-55534470000.0,1000,298.187324
-53573510000.0,1000,300.358655
-49316750000.0,1000,302.575604
-54723744000.0,1000,304.742164
-51171394000.0,1000,306.978072
-57316053000.0,1000,309.200793
-54660080000.0,1000,311.414037
-52290638000.0,1000,313.639838
-54018610000.0,1000,316.229802
-55910450000.0,1000,318.45585
-54197860000.0,1000,320.651334
-54377562000.0,1000,322.888531
-50622833000.0,1000,325.125053
-42577470000.0,1000,327.327182
-53360886000.0,1000,329.545325
-55263510000.0,1000,331.784624
-52158390000.0,1000,334.288207
-51450073000.0,1000,336.831892
-46303770000.0,1000,339.228357
-54226723000.0,1000,341.713374
-55066300000.0,1000,343.910983
-60068300000.0,1000,346.093812
-56602866000.0,1000,348.325929
-59240400000.0,1000,350.535867
-46965285000.0,1000,352.756826
-60403910000.0,1000,354.947385
-54474530000.0,1000,357.116633
-55924440000.0,1000,359.332061
-58916780000.0,1000,361.517408
-57436525000.0,1000,363.726881
-55955198000.0,1000,365.930575
-54909227000.0,1000,368.14289
-52861534000.0,1000,370.344842
-57040806000.0,1000,372.546335
-48995610000.0,1000,374.734503
-56611836000.0,1000,376.917378
-52720693000.0,1000,379.119788
-54627815000.0,1000,381.2982
-55528243000.0,1000,383.542558
-57015497000.0,1000,385.742954
-55294000000.0,1000,387.959029
-60468950000.0,1000,390.172956
-50199500000.0,1000,392.369429
-51935160000.0,1000,394.569208
-33645630000.0,1000,396.742326
-56349143000.0,1000,398.955616
-62966907000.0,1000,401.183769
-52859007000.0,1000,403.356034
-54259120000.0,1000,405.540096
-47580440000.0,1000,407.72809
-57050714000.0,1000,409.918026
-63922180000.0,1000,412.154485
-59559060000.0,1000,414.352771
-52615873000.0,1000,416.526735
-54574200000.0,1000,418.705891
-52541810000.0,1000,420.951858
-53333606000.0,1000,423.126635
-53533280000.0,1000,425.351605
-44257280000.0,1000,427.561568
-54129906000.0,1000,429.760656
-53193570000.0,1000,431.968138
-54411076000.0,1000,434.169261
-56216433000.0,1000,436.361993
-54262014000.0,1000,438.633491
-44015407000.0,1000,440.868516
-55587164000.0,1000,443.079718
-55740056000.0,1000,445.285877
-51651240000.0,1000,447.525187
-42246996000.0,1000,449.702378
-59664208000.0,1000,451.930253
-56060740000.0,1000,454.120497
-54713900000.0,1000,456.317041
-51612930000.0,1000,458.537199
-46952060000.0,1000,460.719732
-47446438000.0,1000,462.930606
-67465695000.0,1000,465.179827
-29207980000.0,1000,467.386109
-53509517000.0,1000,469.583385
-50919420000.0,1000,471.770445
-58509360000.0,1000,473.963964
-44989540000.0,1000,476.148931
-51340435000.0,1000,478.341678
-57444483000.0,1000,480.528625
-45250070000.0,1000,482.738837
-56838820000.0,1000,485.088888
-61658870000.0,1000,487.291522
-57572258000.0,1000,489.489505
-54436340000.0,1000,491.71392
-60282390000.0,1000,493.941551
-41044525000.0,1000,496.135874
-54359670000.0,1000,498.334155
-57950704000.0,1000,500.54467
-55305120000.0,1000,502.786613
-50575057000.0,1000,505.035305
-60242350000.0,1000,507.36154
-55905960000.0,1000,509.598891
-55024690000.0,1000,511.784995
-51034173000.0,1000,513.989637
-58490740000.0,1000,516.199138
-53873304000.0,1000,518.359125
-53871580000.0,1000,520.611366
-42535084000.0,1000,522.783046
-59250844000.0,1000,524.983893
-56239624000.0,1000,527.190287
-58785170000.0,1000,529.395315
-52653360000.0,1000,531.600701
-44739260000.0,1000,533.814027
-56241975000.0,1000,536.023174
-57454510000.0,1000,538.227587
-55449500000.0,1000,540.432117
-52191973000.0,1000,542.634056
-59854733000.0,1000,544.836783
-55374480000.0,1000,547.08624
-61329820000.0,1000,549.330078
-53587540000.0,1000,551.513898
-52134070000.0,1000,553.766279
-49708835000.0,1000,555.976425
-62084293000.0,1000,558.180963
-54205997000.0,1000,560.414864
-54998270000.0,1000,562.624125
-59617000000.0,1000,564.822218
-53243834000.0,1000,567.04262
-56082588000.0,1000,569.25131
-67730530000.0,1000,571.452602
-56631366000.0,1000,573.655191
-55506444000.0,1000,575.974455
-56638923000.0,1000,578.216103
-55280554000.0,1000,580.498356
-56863990000.0,1000,583.010175
-57671463000.0,1000,585.251331
-57303167000.0,1000,587.436891
-44074140000.0,1000,589.598998
-56376510000.0,1000,591.797355
-56072520000.0,1000,594.046627
-54685300000.0,1000,596.383688
-43001106000.0,1000,598.58994
-60424258000.0,1000,600.766304
-52606820000.0,1000,602.965015
-36565040000.0,1000,605.163445
-60556255000.0,1000,607.387768
-56790970000.0,1000,609.566563
-61244797000.0,1000,611.804892
-57021792000.0,1000,613.993261
-50756493000.0,1000,616.172382
-57271493000.0,1000,618.436444
-57346867000.0,1000,620.619997
-63352443000.0,1000,622.810396
-55556076000.0,1000,625.079936
-65138328000.0,1000,627.305906
-53356960000.0,1000,629.498763
-52711903000.0,1000,631.71497
-57731870000.0,1000,633.968599
-39494087000.0,1000,636.170737
-39886713000.0,1000,638.352768
-58441265000.0,1000,640.557754
-52885524000.0,1000,642.77555
-41106140000.0,1000,644.963999
-49578110000.0,1000,647.20259
-51722250000.0,1000,649.387113
-52769354000.0,1000,651.605437
-53681500000.0,1000,653.818661
-57483227000.0,1000,656.036794
-43749306000.0,1000,658.256135
-57800573000.0,1000,660.481434
-45699590000.0,1000,662.675235
-58013147000.0,1000,664.878514
-49522745000.0,1000,667.086773
-44820783000.0,1000,669.307987
-56650510000.0,1000,671.546989
-55448050000.0,1000,673.735163
-51412120000.0,1000,675.951979
-46215754000.0,1000,678.176639
-57133580000.0,1000,680.386733
-51483603000.0,1000,682.602705
-61325230000.0,1000,684.868955
-56867897000.0,1000,687.067493
-54556630000.0,1000,689.294786
-56401097000.0,1000,691.47716
-53774380000.0,1000,693.666997
-55298800000.0,1000,695.869197
-41361273000.0,1000,698.068063
-55744213000.0,1000,700.269208
-61576040000.0,1000,702.464652
-58354946000.0,1000,704.637964
-56964470000.0,1000,706.880208
-45568508000.0,1000,709.079547
-49117237000.0,1000,711.304461
-58058252000.0,1000,713.534922
-53732850000.0,1000,715.701942
-58662347000.0,1000,717.886524
-53857944000.0,1000,720.096548
-54386463000.0,1000,722.308519
-59501940000.0,1000,724.494806
-57944486000.0,1000,726.740854
-52980867000.0,1000,728.99082
-49217688000.0,1000,731.183333
-62214214000.0,1000,733.387178
-54716470000.0,1000,735.592126
-56238133000.0,1000,737.863098
-55064740000.0,1000,740.075346
-44956420000.0,1000,742.290894
-58640010000.0,1000,744.560418
-54580326000.0,1000,746.80307
-42586333000.0,1000,749.020501
-48297243000.0,1000,751.364097
-59459580000.0,1000,753.680166
-51526496000.0,1000,755.926483
-54903240000.0,1000,758.153582
-52226540000.0,1000,760.346973
-50501500000.0,1000,762.533457
-56705393000.0,1000,764.736932
-47883747000.0,1000,766.974367
-37944095000.0,1000,769.210378
-44554203000.0,1000,771.402768
-47788765000.0,1000,773.609944
-56673950000.0,1000,775.793929
-43690148000.0,1000,777.984689
-49756690000.0,1000,780.188894
-41025483000.0,1000,782.44391
-53602644000.0,1000,784.652683
-48532836000.0,1000,786.878609
-51387530000.0,1000,789.097439
-60589224000.0,1000,791.312681
-45126693000.0,1000,793.476983
-46240264000.0,1000,795.673205
-42688280000.0,1000,797.869967
-50166910000.0,1000,800.091935
-61305090000.0,1000,802.316303
-49948266000.0,1000,804.529903
-56857956000.0,1000,806.790515
-54478340000.0,1000,809.001058
-41988792000.0,1000,811.212462
-61729575000.0,1000,813.418324
-46563350000.0,1000,815.602243
-54702895000.0,1000,817.816288
-61866350000.0,1000,820.025249
-56993380000.0,1000,822.243712
-52592763000.0,1000,824.46702
-61033360000.0,1000,826.712065
-51849376000.0,1000,828.931534
-52001886000.0,1000,831.126338
-54877940000.0,1000,833.380079
-56950166000.0,1000,835.562716
-59080258000.0,1000,837.75486
-56476733000.0,1000,839.947626
-62039216000.0,1000,842.143516
-59463004000.0,1000,844.410865
-53922656000.0,1000,846.623222
-58572630000.0,1000,848.840069
-55199445000.0,1000,851.019855
-53521240000.0,1000,853.226519
-64505917000.0,1000,855.422681
-54627525000.0,1000,857.65192
-57129755000.0,1000,859.842377
-58087770000.0,1000,862.138242
-48701153000.0,1000,864.338925
-54790760000.0,1000,866.530441
-58643970000.0,1000,868.729529
-52903360000.0,1000,870.923834
-58156814000.0,1000,873.149639
-56690864000.0,1000,875.358646
-58836430000.0,1000,877.558169
-61151457000.0,1000,879.794331
-57910972000.0,1000,881.972966
-61988990000.0,1000,884.183647
-55167970000.0,1000,886.382833
-53626515000.0,1000,888.569935
-52637356000.0,1000,890.77751
-55119770000.0,1000,892.992738
-57833783000.0,1000,895.212126
-52475027000.0,1000,897.509122
-56845030000.0,1000,899.862206
-60869403000.0,1000,902.097845
-53181866000.0,1000,904.348951
-54583788000.0,1000,906.556865
-54748434000.0,1000,909.055642
-56212926000.0,1000,911.427723
-56133440000.0,1000,913.792075
-57393082000.0,1000,916.531443
-49642185000.0,1000,919.058932
-57842856000.0,1000,921.263983
-53700550000.0,1000,923.459585
-58441900000.0,1000,925.683974
-54282570000.0,1000,927.868631
-60202267000.0,1000,930.109588
-43268240000.0,1000,932.292778
-59357626000.0,1000,934.468413
-59099390000.0,1000,936.658013
-53535752000.0,1000,938.830379
-59407010000.0,1000,941.032689
-43626783000.0,1000,943.217857
-53436120000.0,1000,945.426457
-58585560000.0,1000,947.668672
-54439326000.0,1000,949.869065
-55856440000.0,1000,952.101001
-51203154000.0,1000,954.301707
-66578694000.0,1000,956.493604
-47882440000.0,1000,958.665134
-51839144000.0,1000,960.84392
-56972763000.0,1000,963.04858
-53164340000.0,1000,965.285071
-48730694000.0,1000,967.487025
-53182750000.0,1000,969.671226
-57283207000.0,1000,971.857296
-44317925000.0,1000,974.039832
-57350090000.0,1000,976.23131
-55993106000.0,1000,978.441989
-61004743000.0,1000,980.636795
-54735960000.0,1000,982.915066
-56580320000.0,1000,985.202199
-58872990000.0,1000,987.406252
-57395970000.0,1000,989.589705
-61351985000.0,1000,991.781877
-55910960000.0,1000,994.006072
-52843540000.0,1000,996.217392
-58558353000.0,1000,998.434319
-53843284000.0,1000,1000.669323
-67596198000.0,1000,1002.887369
-46635393000.0,1000,1005.086017
-49966800000.0,1000,1007.279222
-46278246000.0,1000,1009.490795
-37666415000.0,1000,1011.675639
-47721920000.0,1000,1013.882287
-51150893000.0,1000,1016.060869
-51567796000.0,1000,1018.304532
-57749193000.0,1000,1020.501389
-51494396000.0,1000,1022.692435
-47568700000.0,1000,1024.928651
-58022730000.0,1000,1027.157657
-52467880000.0,1000,1029.352763
-64658580000.0,1000,1031.539947
-57818268000.0,1000,1033.772607
-52095000000.0,1000,1035.958177
-50632516000.0,1000,1038.16185
-59217710000.0,1000,1040.349633
-56697864000.0,1000,1042.567807
-54589526000.0,1000,1044.771723
-57583330000.0,1000,1046.974286
